user_id,business_id,review_stars
RdjZZSpaUlyEDWhhUKFM1Q,E_jnzr_iuZGeUeP-5VMi2Q,5.0
9Z4v4zdbvzUbaVP0hBslgw,v_vqna00z6WqKcIJZDkbAw,5.0
UOUw1omZi8uWhCyvVUSCOA,14wug4g_h4K-8zqxGIQ7gw,5.0
SxUOkXsorfKSIwCgEYpDPg,RbzuOJPSnR4NnG1On36ULg,5.0
QsRSwjBPcp47xwYxj6hjXg,C9-AL6Cxfb7cJ3tQ07abzg,5.0
k3iicSOVK6hsEGF_fawvgg,KS-_YcMsLdWIbM1slhsWbA,5.0
yKFxA_2GDIDyIhYAkhqWGw,XipwoysF1dPd0BJfNBo2Zw,5.0
4_6WR16UHJ3n2AMWsj_sEQ,MRicGSGN-pCtP-wEFiAWKQ,5.0
eDAJYM3JNV9b7osQ4SZ3KQ,kNCbrDQ6T2FgC5zjkye30A,5.0
aExun99Z51PiG8-w6PH3Rw,uPoGBg74wu5szsOBzITRCg,5.0
o5zOSS2m8jTiCu9FMU-pRw,5UJvJ9L_eeGp0Z28hW4h4w,5.0
90rODD6sq5uOa0gUhOniuA,qm4n5ebzaTZwZA2owMaWpQ,5.0
KfvrnUKTV2gaD5daBVhy6w,cn1Xjzwtj2rppEi0ZIPaZQ,5.0
C2bFGi_uunl2Jx8bI4EXAQ,pTlvSTFoGVwUK30Cpj4nGQ,5.0
KwokO-ZWphRaQgCdb6wBRQ,0qajFQEYoYcYRwWGThbYLA,5.0
QsCCxKBXidYE8AWAUC0R0A,lAzhqFt9SnLt_DXpu6iwoA,5.0
Sft4hNJzfrTSXExon2ApNw,m6MJhKvfw6b682b9f4OcbQ,5.0
EIgt7MlXeYgTZrYfBhbVXA,LULmYza-tIDL4k41UHyCug,5.0
fUxljTfzJEOjLW52KZDXKA,Ikm8LPbDZlJd4wPk-kQezw,5.0
5PHc9BHLKpeIws0ImYnNXQ,lgrDv-9XYWoTBuGByGshYw,5.0
IgKPnPma7yAYRRFSaAB66g,lcfD0VSjMxHYBnH-a4-w0g,5.0
1sA4O76JHK6c0_mhiidX3g,TdqChBrlQ4RxNtvxGF6tDQ,5.0
5xm3zQQXKUShXIR2ppCoXQ,QKMcd70-hcc23OzOoBIItQ,5.0
T-2ZJbLSRxRI_Gu5pLETTQ,S1Tu64bLEmg4aoYAUKKhUA,5.0
EcaNCb7A9vEiNtsztL1OUg,8ZSj95pgzTBdUxORgATCSQ,5.0
UNp-pbcYImKrNhob5UoQIA,WKSf7UQhANmzyxCtJ87abw,5.0
hBIsNGnNssvfQDOh_j1pYA,kTjWrQIpVXMle5FTNlerWw,5.0
kD9aITYSuzqIARWtAUWhUA,5EJQLjYKZAXhrur_h1n47Q,5.0
F7lYygnAG2e8L2CndS0gGA,wIekFhz6Ivtj7vN5qt5XwA,5.0
A7DNnpVi4D7nJ36sZTXU3g,t9cJMOdRBcci1g4pmWtFjg,5.0
nUzCI0wukjL9b4Uz0Tn9YQ,Cw1Bns7c_DMefNQxOcWUeg,5.0
GKNJ2yv8tPoZoOfmnTwQ-Q,EjsLGIHUC7E0U-HdSujKNA,5.0
foDd6oX1Cj7vBQVa4ras1g,Xfrk9ZRv_v8IB8t1JmnwVA,5.0
MXxomcsySyVpH-vOJXfYWw,X-E_qJ1Z9tif_4FGQgs91A,5.0
gOtZRJAq12IieV3iXAAf0g,lROi3RtwE97SSYn6wRGOsw,5.0
xH4dLFQhFTVZrrgTJqrh8A,7HnMQDXXWs4K4PtG9YiGLQ,5.0
fieWz1B8qOmq1arGfVd5TQ,q30NFC8gwXHstEtzn_KjsQ,5.0
ITxQBXchKJM1F8x522HPnA,KLBZVKLBkF5OqVSnbBo5lQ,5.0
_94cvgpiouknCJLbFqOvFg,RXW3WsOBAkspYaJ96GRQUg,5.0
